ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ARG,Argentina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,419.55,396.76,408.72,412.21,413.92,409.76,441.93,435.8,438.16,428.31,423.22,442.27,436.8,457.72,453.22,440.74,426.35,422.97,407.12,384.72,387.66,345.65,346.83,339.49,334.16,328.47,316.66,313.6,310.06,309.02,303.99,299.58
NGA,Nigeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,380.78,375.51,385.56,373.06,364.81,362.6,357.8,364.17,354.79,341.23,337.8,328.62,300.66,313.27,307.76,318.28,330.83,326.6,323.39,301.22,321.88,325.58,311.85,325.29,344.1,352.22,321.92,317.28,322.21,325.13,308.82,291.35
ITA,Italy,Climate Watch,Total including LUCF,All GHG,MtCO₂e,375.05,339.49,377.36,386.44,391.5,396.74,379.41,367.8,387.48,419.46,437.64,448.19,439.59,488.61,503.68,510.49,522.43,521.08,509.36,490.53,481.21,482.82,477.39,469.84,458.41,454.52,457.94,432.52,437.43,443.39,446.4,448.84
MYS,Malaysia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,366.28,364.3,374.08,367.73,344.84,360.82,173.76,189.48,156.98,135.12,134.98,358.59,345.96,350.68,339.66,315.48,319.22,304.18,279.38,270.45,253.99,262.96,251.5,273.85,244.63,233.26,223.29,216.19,208.18,201.49,198.86,187.87
POL,Poland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,347.67,321.99,337.9,355.53,357.3,343.94,338.93,335.77,348.99,354.78,361.76,321.15,302.71,317.52,323.72,323.2,308.84,307.43,303.35,291.92,298.41,358.95,372.62,383.31,412.17,422.63,408.04,408.31,413.45,412.92,423.16,425.04
FRA,France,Climate Watch,Total including LUCF,All GHG,MtCO₂e,343.14,314.54,351.5,360.73,375.22,371.85,372.53,367.18,400.65,399.64,395.99,407.15,403.2,421.07,427.09,433.79,443.63,442.32,444.16,438.98,445.93,482.15,483.75,492.93,476.89,486.24,466.51,457.83,463.57,482.52,497.08,472.05
EGY,Egypt,Climate Watch,Total including LUCF,All GHG,MtCO₂e,319.69,294.97,306.74,330.85,336.7,326.69,316.27,309.81,304.3,307.09,296.09,287.66,285.18,278.0,268.76,253.87,243.06,223.15,210.2,205.14,199.75,186.92,187.58,178.13,172.46,163.8,156.37,146.85,150.53,145.0,142.74,137.19
KAZ,Kazakhstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,317.74,299.53,293.05,305.76,305.53,281.74,266.29,285.88,335.25,320.19,322.72,315.21,295.33,322.71,274.85,262.49,242.29,227.25,208.25,196.66,166.78,167.35,166.69,180.67,179.76,201.42,225.83,254.22,275.62,311.69,308.34,300.83
COL,Colombia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,282.82,272.97,278.96,276.84,268.51,273.21,242.82,243.58,239.75,230.11,231.33,249.87,245.16,241.19,239.95,233.39,233.41,232.29,229.91,227.01,229.51,239.43,234.76,246.42,244.14,237.56,237.05,232.37,229.67,224.7,221.32,220.09
ESP,Spain,Climate Watch,Total including LUCF,All GHG,MtCO₂e,273.13,256.11,295.49,312.91,319.44,302.82,318.39,307.85,309.13,335.56,341.96,331.01,345.95,382.03,415.36,399.14,405.09,390.43,374.36,365.31,348.61,326.9,309.58,284.99,275.54,254.09,260.72,247.0,234.09,248.9,239.05,232.96
DZA,Algeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,272.99,264.68,279.46,273.0,264.96,261.74,260.04,250.22,238.1,233.42,214.66,207.34,204.47,202.39,197.34,193.81,186.35,179.09,175.13,161.93,155.56,161.5,151.9,147.77,145.97,146.81,143.38,137.04,134.71,126.26,125.49,121.81
IRQ,Iraq,Climate Watch,Total including LUCF,All GHG,MtCO₂e,252.98,247.94,277.24,257.97,244.86,229.78,207.92,202.47,204.59,192.3,169.44,160.09,144.43,134.86,119.48,124.35,124.97,128.56,113.75,132.95,143.02,132.77,116.29,130.67,148.41,120.6,122.24,124.24,109.45,83.32,58.88,98.89
ARE,United Arab Emirates,Climate Watch,Total including LUCF,All GHG,MtCO₂e,249.48,243.5,246.29,233.06,249.51,258.48,251.04,239.3,236.87,224.83,214.44,206.96,199.38,199.56,173.72,162.95,155.56,146.3,138.28,129.96,128.26,114.46,113.79,112.76,110.76,107.63,103.17,98.38,89.61,85.33,86.89,78.65
BGD,Bangladesh,Climate Watch,Total including LUCF,All GHG,MtCO₂e,241.6,225.27,229.43,226.34,221.79,212.29,204.78,196.77,191.84,187.23,182.57,176.6,169.25,164.77,156.46,153.5,147.58,142.69,141.01,139.02,135.57,129.32,127.97,123.9,123.98,121.7,121.26,116.15,113.59,112.24,110.18,109.97
PHL,Philippines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,237.6,226.56,236.86,229.33,222.82,205.53,194.22,185.21,177.81,166.88,161.86,160.19,154.33,151.5,148.24,142.26,148.84,147.59,144.27,141.31,139.43,140.25,139.09,133.56,139.83,131.75,123.21,111.34,104.33,98.94,96.76,96.87
VEN,Venezuela,Climate Watch,Total including LUCF,All GHG,MtCO₂e,226.05,225.72,301.56,353.89,398.16,433.81,527.97,550.98,556.36,554.16,523.81,506.66,502.68,514.75,498.63,503.09,504.96,484.21,459.66,475.46,493.24,544.79,527.52,551.17,551.13,531.42,502.08,475.06,468.97,461.31,459.15,442.56
