ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SRB,Serbia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,60.79,62.83,61.7,61.57,63.27,62.89,58.68,52.36,60.35,59.64,64.47,27.41,27.87,30.33,32.58,33.63,30.89,38.54,33.44,30.24,26.84,57.36,55.18,72.62,72.8,68.02,60.28,53.76,57.53,63.29,68.26,79.21
BFA,Burkina Faso,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.28,57.86,57.23,56.29,55.33,54.31,34.43,33.13,32.64,31.84,31.14,41.18,39.53,38.84,37.93,37.24,37.25,36.59,35.92,32.52,31.79,29.92,28.57,28.68,27.83,27.26,26.11,25.73,25.27,25.02,24.73,24.29
CAF,Central African Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,56.39,55.58,55.32,57.35,56.49,62.27,52.88,52.07,55.64,57.79,61.72,58.05,48.82,61.36,63.19,59.32,62.11,53.8,64.46,49.07,54.7,44.22,43.0,46.74,41.53,38.24,52.31,52.18,49.68,49.63,49.58,49.27
BHR,Bahrain,Climate Watch,Total including LUCF,All GHG,MtCO₂e,55.39,54.49,54.31,50.87,50.15,49.3,48.71,47.96,45.89,43.05,41.48,40.77,38.82,38.12,35.66,34.48,32.02,28.76,28.61,27.57,26.36,25.55,24.45,23.87,22.14,21.13,19.88,19.14,18.75,17.78,15.59,15.93
UGA,Uganda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,54.88,53.83,52.98,53.41,52.29,52.16,50.77,49.16,48.04,48.03,46.32,46.03,44.5,44.2,37.94,35.2,36.56,34.54,34.53,32.81,32.04,32.53,32.74,32.92,31.49,30.12,29.31,28.63,28.97,28.62,28.36,27.89
AZE,Azerbaijan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,54.61,51.93,53.49,51.13,49.71,50.4,49.01,49.18,48.03,46.82,43.77,42.31,43.46,47.65,43.16,44.07,41.68,38.56,38.5,35.79,35.72,36.58,34.8,34.53,33.97,34.4,39.88,40.77,61.85,84.07,75.32,78.18
PRT,Portugal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,53.68,55.9,61.84,66.88,71.77,66.78,66.69,62.57,63.01,64.68,66.36,68.67,74.04,74.83,77.09,78.5,83.86,80.44,78.95,83.25,78.61,80.2,80.68,73.97,68.78,66.45,68.07,64.3,62.4,63.49,59.45,57.72
CIV,Côte d'Ivoire,Climate Watch,Total including LUCF,All GHG,MtCO₂e,53.67,52.03,51.56,50.38,50.68,50.11,48.66,47.84,47.95,46.58,44.9,45.28,45.59,47.0,47.45,48.01,48.99,47.65,49.26,52.01,51.96,86.36,86.35,84.16,83.4,81.65,80.64,79.74,76.92,74.23,71.59,68.88
PNG,Papua New Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,53.29,53.86,53.02,52.99,51.89,51.82,52.18,49.42,47.8,46.61,45.93,37.87,37.87,37.68,38.12,38.18,38.17,39.64,38.49,38.53,37.79,38.03,37.0,36.17,49.87,35.38,35.86,32.81,31.93,30.86,29.82,28.81
NPL,Nepal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,51.37,49.76,47.7,47.64,45.74,44.88,38.44,39.6,38.13,37.44,36.09,28.13,26.84,24.92,23.51,23.43,23.9,23.23,23.21,21.87,22.74,25.12,24.84,23.51,22.88,22.48,22.47,21.38,20.66,19.85,20.13,19.88
CHL,Chile,Climate Watch,Total including LUCF,All GHG,MtCO₂e,50.66,49.37,56.11,50.13,51.4,49.48,22.08,15.98,23.22,20.15,17.71,56.45,51.31,53.79,49.0,41.19,39.97,39.33,33.96,33.23,32.5,53.43,57.41,54.49,53.45,46.25,39.79,36.08,32.0,29.31,27.71,28.85
MLI,Mali,Climate Watch,Total including LUCF,All GHG,MtCO₂e,48.49,47.23,44.74,42.46,41.01,39.95,35.57,34.15,33.21,32.11,31.26,30.35,28.52,28.18,26.8,25.78,25.46,24.61,22.3,21.69,21.34,24.16,24.86,23.8,19.59,18.76,18.36,17.98,17.7,17.45,17.38,17.44
NER,Niger,Climate Watch,Total including LUCF,All GHG,MtCO₂e,48.42,46.11,44.06,42.12,40.23,38.8,37.1,35.91,34.21,32.41,30.36,29.33,29.22,27.88,26.67,25.46,24.53,23.63,22.77,21.87,21.1,24.82,24.3,23.71,22.78,22.11,21.34,20.75,20.25,19.6,19.11,18.64
SYR,Syria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.64,46.4,46.78,46.64,45.36,43.44,43.8,45.77,51.9,75.09,100.79,106.09,106.54,111.18,110.48,107.79,105.8,96.07,104.32,105.0,102.07,101.12,101.74,102.31,98.93,99.06,97.33,93.27,90.16,86.42,81.23,71.45
SLB,Solomon Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.36,46.32,46.3,46.28,46.24,46.21,-17.04,-17.02,-16.99,-17.04,-17.06,2.43,2.41,2.39,2.37,2.35,2.33,2.31,2.28,2.27,2.25,4.45,4.43,4.42,4.4,4.39,4.37,4.36,4.34,4.32,4.31,4.29
LAO,Laos,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.86,43.91,40.88,39.97,39.66,38.49,29.99,25.29,25.04,23.93,21.79,29.47,25.29,23.89,29.09,23.34,24.57,27.53,22.69,22.11,20.85,20.33,20.46,21.78,20.06,20.39,20.29,20.24,19.88,19.87,19.55,19.63
DNK,Denmark,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.36,43.1,45.52,49.16,49.71,51.99,47.53,49.57,53.76,52.35,57.46,64.87,64.61,67.54,71.11,75.99,68.34,72.04,78.23,72.7,73.37,72.02,75.74,78.5,82.5,92.18,78.66,81.76,78.06,75.43,81.57,70.68
CHE,Switzerland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.0,42.28,44.74,44.96,46.2,47.18,46.7,47.48,51.29,50.26,48.96,52.92,51.35,52.79,51.17,53.09,53.38,52.66,52.17,50.95,52.62,51.86,52.61,52.48,50.92,52.38,51.76,50.84,51.73,54.1,54.17,51.95
SOM,Somalia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,43.16,43.52,43.35,43.09,43.08,43.14,43.11,43.05,42.91,42.8,42.5,42.35,42.14,42.11,42.09,43.19,44.46,44.02,43.72,43.49,43.1,42.56,42.38,42.31,42.47,42.08,41.63,40.97,39.03,37.05,39.01,41.94
DOM,Dominican Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,42.28,39.35,40.84,37.94,35.47,36.2,35.36,32.93,32.57,32.8,31.99,30.85,29.49,30.0,29.85,28.65,26.73,25.41,26.12,28.45,26.02,19.91,19.21,18.61,16.67,14.99,14.07,13.57,11.59,11.09,9.62,8.5
GIN,Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,41.04,41.09,39.72,37.88,38.08,37.64,33.97,33.3,32.89,32.75,31.43,30.1,27.82,27.4,26.7,26.37,25.99,24.54,24.58,24.24,23.13,22.21,21.77,22.2,20.74,20.3,20.81,20.4,19.99,19.63,19.3,18.98
MDG,Madagascar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,40.43,40.06,40.43,38.9,40.39,40.9,39.28,38.39,37.87,38.54,37.98,49.89,49.2,48.02,49.39,47.98,49.52,45.17,46.36,43.75,46.31,53.96,55.26,55.6,54.41,55.02,54.47,53.97,54.21,53.83,53.57,53.54
TUN,Tunisia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.98,36.96,38.82,38.85,38.27,37.94,46.87,46.48,43.99,44.74,42.1,38.41,35.96,35.65,35.16,33.53,32.39,31.67,30.31,30.53,30.33,29.84,28.49,26.98,25.54,25.04,23.68,23.19,23.52,23.34,21.98,20.98
GTM,Guatemala,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.32,36.71,38.12,36.86,35.2,35.81,38.78,35.72,34.76,33.45,32.79,38.24,38.56,36.79,38.29,36.48,37.59,34.99,36.63,34.42,33.1,36.47,34.19,35.54,31.87,31.61,31.36,30.33,30.13,29.48,28.28,27.91
NIC,Nicaragua,Climate Watch,Total including LUCF,All GHG,MtCO₂e,38.94,38.58,38.65,38.06,38.05,38.17,29.27,28.35,27.41,27.13,26.77,38.3,37.89,37.84,37.95,37.79,37.69,37.13,37.71,36.49,36.06,31.95,31.38,30.82,29.87,29.03,29.02,29.64,29.33,28.66,27.76,29.12
SVK,Slovakia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.98,34.95,37.01,38.85,39.4,37.47,30.08,29.64,32.29,31.63,33.99,34.7,33.17,36.81,36.78,37.74,38.17,37.35,38.04,37.78,38.23,36.59,39.21,40.66,41.81,41.95,41.94,41.36,44.04,46.46,48.95,57.28
LKA,Sri Lanka,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.35,36.91,37.63,35.09,35.65,36.55,31.8,29.33,26.68,29.57,27.69,26.93,25.65,26.5,26.24,25.31,26.86,24.92,24.8,23.61,22.76,25.14,25.9,26.48,28.97,30.95,31.02,30.9,30.12,29.81,28.04,28.2
URY,Uruguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.26,34.25,34.85,34.44,34.61,35.37,29.96,30.07,30.57,31.57,30.71,26.07,28.47,28.92,26.34,27.38,25.25,25.08,23.17,22.28,21.97,19.11,20.98,19.92,20.33,20.62,19.29,19.09,19.2,18.67,17.06,15.45
SEN,Senegal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.25,34.92,33.94,32.87,32.36,32.01,29.78,29.09,28.48,27.2,27.63,28.53,27.5,27.01,26.05,25.91,25.36,24.65,22.6,23.31,23.63,24.78,24.81,22.62,21.41,20.93,19.38,19.1,18.78,18.53,18.09,17.8
SWE,Sweden,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.08,34.05,35.38,36.09,38.23,38.52,33.41,33.46,34.63,36.41,39.18,54.18,48.4,52.18,53.32,55.26,56.74,60.37,61.69,60.62,59.23,73.94,77.84,79.08,78.24,84.43,78.83,79.22,77.39,77.43,74.85,74.25
JOR,Jordan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,35.27,33.96,35.62,36.57,37.36,35.59,35.2,34.53,32.46,32.18,28.44,27.77,28.19,27.3,27.89,26.5,25.6,24.01,22.39,21.8,21.02,20.92,20.35,21.29,22.08,22.56,23.33,23.69,22.58,21.85,19.1,18.65
AFG,Afghanistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,35.18,34.5,33.54,33.25,31.9,31.02,31.37,30.92,30.18,30.68,32.2,28.71,24.44,21.47,18.34,17.39,16.76,15.69,16.07,15.38,12.73,11.82,13.59,12.67,11.83,10.84,9.79,9.34,9.29,9.16,9.51,9.24
NOR,Norway,Climate Watch,Total including LUCF,All GHG,MtCO₂e,32.48,32.19,33.58,34.81,35.36,35.65,36.17,35.35,35.34,34.67,35.01,32.24,30.05,30.98,30.48,30.15,29.82,30.83,30.51,28.46,28.93,36.46,42.02,40.0,38.73,37.0,36.87,36.96,35.04,32.61,32.41,35.03
CUB,Cuba,Climate Watch,Total including LUCF,All GHG,MtCO₂e,32.12,32.78,36.41,38.79,38.35,39.64,31.98,29.98,32.11,31.75,30.7,33.2,32.03,31.17,31.86,30.92,29.97,29.86,30.48,31.37,32.54,32.97,32.61,32.18,32.64,30.41,27.73,26.59,25.15,28.6,34.78,43.96
HND,Honduras,Climate Watch,Total including LUCF,All GHG,MtCO₂e,27.84,28.11,27.99,26.92,26.63,27.98,28.03,27.46,26.91,26.57,26.65,23.69,23.76,23.78,23.54,22.8,22.54,21.56,22.3,19.27,18.82,18.78,18.28,19.43,18.88,18.47,18.97,18.2,17.51,17.71,17.4,17.29
COG,Republic of Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,27.72,28.9,29.51,28.35,25.67,25.36,24.57,23.74,24.3,23.37,25.44,25.38,23.38,22.21,21.68,24.0,22.47,20.55,19.91,18.38,20.52,21.14,20.96,20.38,19.04,18.33,18.21,17.43,18.41,18.85,18.55,18.55
YEM,Yemen,Climate Watch,Total including LUCF,All GHG,MtCO₂e,26.61,26.64,27.76,26.07,23.59,22.56,27.5,48.37,50.73,42.33,46.57,52.78,52.96,50.51,51.0,51.14,50.89,48.82,48.73,45.49,45.41,43.96,40.3,37.26,35.83,33.83,33.18,31.82,25.12,23.3,22.89,21.08
NAM,Namibia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.85,24.4,21.4,22.3,23.01,22.87,22.27,22.17,22.94,30.19,28.6,23.34,24.0,20.93,22.44,23.19,21.84,21.04,20.52,19.92,21.08,21.32,20.51,20.47,19.76,19.92,20.05,19.94,19.74,19.77,19.82,N/A
BEN,Benin,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.79,26.94,26.35,25.97,24.7,24.53,22.84,22.41,21.89,21.24,21.29,21.16,20.77,20.12,20.44,19.72,19.48,18.33,18.22,18.22,17.19,22.8,22.66,22.86,21.83,21.47,19.84,20.05,19.79,19.74,19.66,19.55
LTU,Lithuania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.46,24.11,24.12,24.0,23.92,24.01,18.55,18.29,18.79,19.69,19.76,26.39,25.59,29.18,29.75,28.73,28.6,27.47,26.54,26.37,26.02,26.09,27.79,30.55,29.66,29.89,29.11,30.68,32.72,38.62,53.19,51.81
LBN,Lebanon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.37,29.15,34.05,34.21,35.7,33.91,32.81,30.66,28.47,28.49,25.85,25.25,26.15,22.72,18.91,19.95,20.89,21.47,20.91,20.22,20.25,18.93,20.1,19.12,18.76,16.54,15.5,13.2,12.26,8.85,8.79,7.29
TTO,Trinidad and Tobago,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.33,26.54,29.63,29.09,29.25,29.04,32.67,33.61,33.65,32.7,33.18,32.21,29.54,30.41,30.77,30.13,26.53,24.32,23.3,19.39,17.63,15.88,15.0,14.53,14.16,13.76,12.65,13.1,16.87,21.52,21.66,21.78
BIH,Bosnia and Herzegovina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.01,24.34,24.37,26.1,26.1,25.82,21.26,21.04,23.54,23.77,25.56,26.49,26.46,26.4,24.28,23.17,21.29,20.53,19.47,18.94,18.78,22.12,18.34,18.38,15.56,10.66,9.62,9.71,20.1,23.56,30.82,33.66
PAN,Panama,Climate Watch,Total including LUCF,All GHG,MtCO₂e,23.04,21.53,24.87,21.56,21.51,21.94,21.73,21.83,21.39,21.42,20.72,19.62,19.0,17.41,17.29,17.29,16.76,15.11,15.13,14.82,15.55,15.77,15.67,16.53,15.45,15.51,15.52,15.32,15.03,14.77,14.1,13.61
MWI,Malawi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,21.99,21.79,20.05,19.12,17.27,17.17,16.72,16.33,15.75,15.65,15.12,15.16,13.96,14.14,13.56,13.0,13.06,12.74,12.89,12.39,12.05,11.95,11.96,11.94,11.69,11.77,11.75,11.55,11.94,11.79,11.79,11.61
GAB,Gabon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,20.25,20.84,21.13,20.19,20.9,22.54,22.2,21.78,21.47,21.37,21.78,18.53,17.7,17.9,17.24,17.96,19.39,19.83,20.14,18.74,19.45,20.01,20.72,21.84,20.82,20.91,19.93,18.68,17.49,17.31,17.28,16.13
GUY,Guyana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.61,18.81,17.95,17.62,17.48,17.38,19.96,19.81,19.6,19.44,19.2,11.49,11.23,11.2,11.05,10.74,10.93,11.29,11.01,10.72,10.82,10.07,10.4,10.41,10.27,9.98,9.72,9.02,8.72,7.92,7.93,7.76
GEO,Georgia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.16,17.68,17.89,17.14,17.49,17.54,17.16,16.81,16.16,15.14,14.28,9.59,9.86,9.1,10.0,9.23,8.87,8.32,8.25,7.72,8.27,-4.02,-4.43,-4.18,-3.7,-2.88,-1.36,1.7,8.86,14.39,21.78,31.33
BGR,Bulgaria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.15,12.57,17.66,19.49,22.72,20.58,45.13,42.43,39.85,45.0,50.75,33.42,31.77,39.26,41.67,37.47,37.52,37.53,38.77,33.91,36.59,36.03,36.58,43.39,46.98,50.06,49.49,48.27,52.22,53.66,59.48,76.47
TJK,Tajikistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.82,17.83,17.29,15.89,14.49,13.1,12.02,11.42,9.88,9.46,8.66,8.44,8.35,8.67,8.29,7.58,7.09,7.02,6.47,6.32,6.29,6.65,7.02,7.51,7.59,7.35,8.0,8.61,11.12,13.98,16.85,17.85
HRV,Croatia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.74,17.07,17.98,17.89,18.98,18.33,21.11,20.5,21.3,22.39,24.39,25.32,25.88,28.44,29.25,27.73,27.02,27.06,27.34,26.22,25.19,24.31,25.32,24.95,25.06,24.23,24.28,22.99,22.98,22.28,21.33,27.9
GHA,Ghana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.2,15.38,11.63,9.68,7.99,5.99,59.96,58.28,58.72,56.45,54.62,68.89,67.24,66.0,66.26,66.01,64.73,62.49,63.37,62.79,61.61,27.59,27.27,28.6,24.98,23.75,22.67,22.3,22.0,21.86,21.44,21.39
EST,Estonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,16.02,14.79,17.81,23.48,24.5,23.59,14.13,17.26,18.56,16.63,18.11,22.97,18.42,21.86,24.13,20.42,21.07,21.2,20.97,19.08,19.49,19.21,19.64,20.23,21.53,21.94,21.13,23.19,23.21,28.53,37.83,40.93
SVN,Slovenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.92,15.65,16.88,17.33,17.46,17.28,13.49,13.39,14.89,15.52,16.14,7.3,7.0,8.98,8.0,8.03,7.7,7.45,7.25,7.28,7.2,8.4,8.6,9.25,9.51,9.04,8.24,7.42,7.36,6.62,6.84,7.99
LBR,Liberia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.26,15.25,15.66,14.97,15.06,15.04,16.22,15.43,15.16,15.16,15.05,14.87,15.6,14.6,14.6,14.83,14.5,14.44,14.41,14.26,14.23,14.24,14.2,14.3,14.22,14.17,14.27,14.26,14.27,14.28,14.25,14.36
KGZ,Kyrgyzstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,14.15,12.88,13.66,14.85,12.72,12.9,15.87,15.53,14.9,15.41,12.79,12.09,12.38,12.73,11.64,10.43,10.31,10.62,10.47,9.84,8.87,8.44,8.52,9.9,9.67,9.79,8.89,11.58,16.72,21.52,28.97,31.4
MDA,Moldova,Climate Watch,Total including LUCF,All GHG,MtCO₂e,14.1,13.19,13.63,13.47,12.93,12.94,12.18,11.95,11.32,12.19,12.45,11.73,10.82,11.5,11.63,11.41,11.75,11.44,11.46,10.86,10.72,11.19,12.04,13.4,14.87,16.54,18.33,20.37,23.46,26.89,31.74,37.91
SUR,Suriname,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.52,13.55,13.58,12.99,13.35,13.86,12.46,12.37,11.97,12.11,11.64,7.1,6.75,6.63,6.45,6.54,6.61,6.39,6.06,5.84,6.4,6.0,6.69,6.66,6.6,6.62,6.51,6.42,6.38,6.36,6.26,5.9
SLV,El Salvador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.39,12.35,13.66,12.8,12.39,13.26,13.33,12.86,12.6,13.34,13.18,13.27,13.52,13.89,14.45,13.88,13.4,13.01,12.65,12.08,11.84,11.2,11.6,11.39,11.27,10.41,10.46,10.2,9.58,9.11,8.73,7.94
GNQ,Equatorial Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12.26,12.5,12.66,12.87,13.22,14.11,14.67,15.5,13.74,13.91,13.88,14.62,14.27,16.1,16.88,16.26,16.34,15.89,12.19,11.15,11.54,9.36,10.24,8.58,7.52,6.16,5.85,5.7,5.57,5.43,4.2,4.04
BRN,Brunei,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12.04,12.06,9.87,10.05,9.76,9.37,8.64,9.45,9.49,9.7,9.75,10.41,11.12,11.35,10.46,10.96,8.24,8.38,8.93,7.78,7.81,7.86,7.44,11.73,8.36,7.75,7.61,7.23,6.92,6.49,6.19,5.98
LVA,Latvia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.68,11.53,12.17,12.33,11.78,11.85,12.15,12.1,12.2,12.28,12.46,1.94,0.75,1.52,1.81,1.35,0.78,0.58,0.55,0.25,0.2,0.88,1.41,1.95,2.34,2.89,2.89,4.46,7.43,10.6,13.17,15.09
ARM,Armenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.08,10.46,9.91,9.48,9.29,9.45,9.08,9.05,9.06,9.12,8.12,7.69,7.87,9.01,8.49,7.84,7.44,6.71,6.32,5.9,6.22,6.12,5.74,6.27,6.31,5.61,6.7,6.13,8.65,14.81,25.07,24.52
HTI,Haiti,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.99,10.95,11.09,10.91,11.02,10.99,10.75,10.43,9.99,9.7,9.91,9.01,8.46,8.43,8.37,7.97,7.89,7.79,7.93,7.89,7.62,7.45,6.94,6.81,6.67,6.24,5.96,5.17,5.68,6.04,5.63,5.41
SLE,Sierra Leone,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.23,9.47,9.33,10.27,9.78,9.83,9.91,9.82,9.44,9.28,8.42,7.95,7.9,7.62,7.82,8.6,7.48,7.36,7.09,6.5,6.08,5.89,5.9,6.16,6.07,6.06,6.37,6.51,6.54,6.47,6.48,6.5
MKD,Macedonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.72,9.75,10.9,10.01,10.53,10.03,10.15,10.42,10.79,11.71,12.14,11.25,11.37,12.06,12.27,11.77,11.77,11.48,11.68,10.91,11.51,11.5,11.83,12.76,12.01,13.17,11.6,11.99,12.45,12.44,13.17,13.97
TGO,Togo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.33,9.24,8.54,8.38,7.99,8.18,7.76,6.99,7.45,7.52,7.96,7.46,7.66,6.16,5.84,6.15,6.68,5.81,6.04,5.39,4.97,7.12,7.62,7.21,6.25,6.49,5.87,5.9,5.63,5.76,6.06,6.23
MRT,Mauritania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.22,8.98,8.98,8.71,8.62,8.61,10.06,9.82,9.66,9.47,9.23,9.24,8.73,8.15,8.81,8.82,8.45,8.34,8.42,8.29,8.31,8.23,7.83,7.37,7.01,6.72,6.23,6.21,6.34,6.17,6.36,6.16
LUX,Luxembourg,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.9,8.54,10.21,10.03,9.74,9.56,9.89,10.4,10.92,11.43,11.66,11.52,10.93,11.52,11.6,12.18,12.39,12.15,10.7,10.28,9.49,8.89,8.25,7.86,8.53,9.03,8.95,11.09,11.94,11.73,12.04,11.55
ALB,Albania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.59,8.39,8.95,9.43,9.68,8.95,8.56,8.89,8.45,8.22,8.78,8.12,7.68,7.61,7.88,7.8,7.89,8.12,8.05,7.64,7.0,8.42,8.03,6.82,6.59,7.32,7.59,7.75,6.94,6.97,9.02,11.37
JAM,Jamaica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.16,7.55,10.15,10.35,8.93,9.23,8.79,8.89,9.08,8.62,9.14,6.4,6.8,8.54,10.95,11.02,9.81,9.85,9.94,9.52,9.34,12.2,12.09,11.77,11.22,11.07,10.73,10.39,10.35,10.15,9.34,9.35
RWA,Rwanda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.04,7.64,7.67,7.37,7.18,6.99,7.17,6.49,6.5,6.31,6.15,7.16,6.88,6.75,6.54,6.4,6.12,6.06,5.95,5.85,5.63,5.7,5.86,5.64,5.64,5.27,5.07,4.88,5.05,5.13,5.2,5.22
CYP,Cyprus,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.99,7.88,8.29,8.31,8.49,8.35,7.9,7.82,7.42,8.13,8.64,8.94,9.27,9.45,9.23,8.9,8.76,8.65,8.71,8.04,7.81,8.08,7.82,7.54,7.21,7.13,6.74,6.85,6.6,6.32,5.9,5.37
CRI,Costa Rica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.69,7.09,8.43,8.45,8.15,7.85,7.04,7.09,7.14,6.63,6.63,12.76,12.63,13.06,12.93,11.51,11.18,10.64,10.63,10.26,10.26,12.85,13.0,13.21,12.48,12.43,12.46,12.87,12.46,12.37,11.23,10.93
BDI,Burundi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.61,7.35,7.25,7.59,7.38,6.76,1.43,1.42,1.43,1.04,0.97,5.7,5.36,5.21,5.08,5.01,4.85,4.78,4.73,4.75,4.75,6.88,6.83,6.73,6.69,6.62,6.58,6.42,6.52,6.54,6.55,6.49
BLZ,Belize,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.8,6.9,6.89,6.68,6.74,6.69,6.95,6.71,6.85,6.62,7.18,4.5,4.42,4.29,4.36,4.13,4.13,3.96,4.42,4.12,4.03,7.3,8.28,9.42,10.41,11.41,12.56,13.66,13.54,13.42,13.33,13.11
ERI,Eritrea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.71,6.65,6.59,6.55,6.43,6.39,6.25,6.23,6.19,6.17,6.1,5.87,5.94,5.89,5.95,5.65,5.85,5.86,5.82,5.68,5.73,6.01,5.9,5.72,5.77,5.28,4.72,4.6,4.42,4.82,4.11,4.11
MUS,Mauritius,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.71,6.41,6.82,6.72,6.7,6.5,6.38,6.33,6.13,6.0,5.84,5.87,5.6,5.6,5.49,5.35,4.92,4.74,4.71,4.52,4.5,4.29,3.84,3.32,3.04,2.93,2.76,2.7,2.63,2.47,2.38,2.28
TLS,Timor-Leste,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.21,6.18,6.54,6.56,6.82,7.0,7.18,7.25,7.26,7.38,7.39,7.5,7.2,6.88,6.5,6.21,5.85,4.87,4.09,3.25,2.18,1.12,1.05,1.16,1.15,1.14,1.12,1.1,1.02,0.99,0.99,0.92
LSO,Lesotho,Climate Watch,Total including LUCF,All GHG,MtCO₂e,4.63,3.38,3.86,3.97,4.24,3.8,3.84,4.05,3.92,4.74,4.69,3.92,3.88,3.76,3.79,3.7,3.73,3.54,3.57,3.49,3.67,3.66,3.72,3.24,3.35,3.23,3.22,3.25,3.25,3.24,3.03,2.98
GNB,Guinea-Bissau,Climate Watch,Total including LUCF,All GHG,MtCO₂e,4.08,4.24,4.18,4.1,4.01,4.09,4.44,4.22,4.13,4.43,3.86,3.95,3.78,3.77,3.94,3.92,3.54,3.65,3.76,3.75,3.59,3.28,3.58,3.23,3.01,2.97,3.32,3.29,3.27,3.24,3.2,3.19
BRB,Barbados,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3.93,3.81,4.22,4.18,4.15,4.16,4.14,4.15,4.29,4.26,4.37,4.27,4.41,4.5,4.19,4.16,4.14,4.11,4.07,4.03,4.07,4.19,4.07,3.97,3.94,3.71,3.62,3.56,3.37,3.41,3.51,3.47
MNE,Montenegro,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3.82,3.78,3.85,3.78,3.58,3.44,3.66,3.55,3.65,3.8,4.03,0.01,-0.71,0.37,-0.07,0.15,0.07,0.27,0.27,0.14,0.03,3.67,3.41,3.98,3.89,3.75,3.49,3.35,3.39,3.56,3.57,4.18
