"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Dakota,62.25283892400179,63.333668102336695,65.97256480903492,67.84501089,68.40749222232351,68.27012098658341,68.7388055,67.03555337,68.54705148,69.14300585,69.0686267,70.18905305,68.00612625189758,70.26059091677911,68.3444086,71.31307271,68.76385993509479,73.85831628,72.24442217432102,71.81865373476971,75.63510806444789,77.70359575,81.34552238,88.79594183501379,93.34671628593289,91.92821915057552,84.79147151899728,85.65887286123191,97.39079577885839,100.96878978382362,86.49781917,88.38897957
Arkansas,78.77242701,78.41689077,79.24346572509421,79.27820869,83.83441865250039,86.71447584,90.27523817,87.83067930744508,90.16886198901491,91.48203619,92.39225850272621,89.78065766,88.46221540276728,89.05878741768389,90.46755509,90.19569249330641,91.66126734,93.72704079119322,93.52703915,92.7876178,100.88686194240479,100.2057239046642,98.81894376,97.56764255102472,99.86513936817441,89.09948456532499,90.94476807,92.99010446,99.72052183344918,92.64896099069159,81.24794906408789,88.01264244
Washington,89.75376046201096,88.12547168926808,95.62715592783677,94.23502629579932,98.66815807457348,96.18289283577262,101.46669479472119,96.91311743295981,102.62743514364348,105.01305259615266,103.29984537338075,94.50756751914824,89.49578388033324,90.62666575011315,91.92665991119328,93.35473109536153,90.29410676114776,94.75583990745764,92.06838215268088,89.29435398952864,86.01727193166914,80.32503189642509,78.39786569,85.54329834182145,84.90587804613794,84.61431682908322,85.73947055063779,88.02550979243979,88.51605410969721,94.50319245005451,81.70687038716609,86.13396231
Nebraska,65.70936487920069,68.11785758,67.2661379,72.24426429514101,72.40752101833738,73.83816709,75.45354416,76.83213202292282,79.21371798,77.39700786,77.11806131,80.97865116884878,79.8532241,80.55573963602859,81.14816622359359,81.71324977,82.94400475174632,85.07176577,85.19718544294012,85.25479012403261,86.24989719588099,90.67033426,86.43070456,91.86010225,90.09265627371862,89.30314916273049,87.70241849953356,87.34014188178199,92.98379316,90.37052355719209,83.62010797,85.39246108374658
Wyoming,79.34616976686301,78.32522939662809,84.52652445,82.05906071,85.16718514,83.18592622418609,84.91013706,86.09975517,92.16193023,91.54044010391829,95.28076243,98.23552341369489,96.84815138453571,98.11121345520328,100.66383708618069,100.67698109114289,103.4949890586735,106.90744188379361,108.64037148022071,103.71618131993749,104.58101195340878,104.45324680798959,102.7143144806487,105.1642528516306,100.35634581727521,97.45778767817373,91.46245187168499,92.43122206248572,93.82408079264222,87.31830281,84.95510244,83.72742621005919
South Carolina,72.98152123,72.27816855109211,72.77765532719611,77.38542541553609,79.85013095048309,78.42724781062891,82.55985038175379,84.46449551492991,88.48783044,92.28626826641421,95.43275527467169,93.21494090478232,94.30711159849768,95.58675791,102.05998590833278,101.14118886199181,102.14055885868599,102.19672381259609,99.90966097961089,93.68408046774309,96.01656728,91.74350288304784,86.21628418937156,81.57343290429846,86.10829625115083,84.9355032,84.02458346926588,81.35344473,85.74950151,82.039519,75.58523588,82.11888874524399
Mississippi,64.41614770257421,63.19034480161179,63.93957247,66.25841585705294,66.44994652796326,68.54908920635421,72.13693908857815,72.92005108257327,74.47918457761797,78.77366097735006,78.31033206422329,86.30326159001537,79.39556820065089,80.74148197296088,81.32353431924717,80.72462903928663,82.38714023453694,84.21939704490856,80.69228930963423,74.59452443774974,80.74243111,74.84931227290056,76.49718102659212,73.46132513531855,76.54095005,77.62343992,78.60533060375235,76.90947973805743,79.78833782960092,79.04704157171831,79.75930727269143,79.35952579318955
Utah,65.36081653,64.15471751,66.75938204,69.21828630994517,70.08436290473496,70.76082003528428,71.48192427594014,74.64171955,78.21728080063708,76.39517767,78.20329796,76.67677999227442,77.36313008782425,78.59158013312607,81.90427934,83.85537971609256,85.64570601549349,86.94586496348455,87.71155347954219,81.69306189328023,81.30008068620371,81.36470449022548,79.16457049846795,84.10498714628069,82.35328863,79.92918737,73.95384599598808,73.57653414506672,74.90463794459359,75.67072839,72.33364731956694,76.90595457679976
New Mexico,78.27587424296357,74.55776503042928,77.51015002374048,80.71367367891163,82.54477024289764,83.27939776128984,84.41855150393307,87.48857102681539,87.15546518454475,88.43575567057289,91.30026807212455,91.61699463018991,89.98869249555723,92.92872057776532,95.15772210049617,96.77297884260707,98.58842761357047,97.00141951429582,95.54857782986407,96.54399586550902,92.37068079600581,94.39276505923328,90.07990060560087,89.20070985,82.11314169706611,81.96552050618531,79.27992642497848,80.08328367863889,76.65056324212662,81.96555992690809,76.30833375779733,75.83893090592481
Maryland,82.32692236,80.17003122477101,80.58132178,82.71039380696782,83.88348586372791,83.15444825,85.76200762162009,85.30069783,86.21993546470989,88.47670618147599,89.10440915,89.31060503,90.25572908,92.71392292,93.88488074,94.98401553702749,88.00507213,88.65962750523359,83.5034767,79.84608746624839,80.29603897,80.08803462288176,71.71205743482462,71.19975341297221,74.50566213219953,72.24371107159612,70.39553094809037,64.42700668882208,71.23053845207089,66.40527032599411,57.67760205,62.57982196638948
