"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"239",1,60759,62502,58006.9264323744,63512.6556888967,56549.6479257292,64969.9341955419
"240",1,61518,58985,58765.7932862326,64271.0391742709,57308.6427194968,65728.1897410067
"241",14,60310,57441,57557.7530776253,63941.093816798,56100.4571056547,65418.6684370875
"242",1,59069,57618,56315.5614126843,61822.4495273737,54857.9761748105,63280.0347652475
"243",1,58570,56353,55817.8852190472,61324.0207055507,54360.4991898209,62781.406734777
"244",1,57774,57731,55021.6925199681,60527.9226058311,53564.2814518038,61985.3336739954
"245",1,58015,57499,55263.1173486079,60767.9588037774,53806.0738287863,62225.002323599
"246",1,58016,59212,55264.88383645,60768.4182326811,53808.1862742316,62225.1157948994
"247",16,58773,57595,55656.1977736318,61524.5877561548,54209.2644429396,62981.0314314183
"248",16,58397,58102,55646.5373549391,61470.3816254584,54190.3497521532,62934.2429992824
"249",1,58445,58315,55695.4303634258,61195.6792342848,54239.6024272433,62651.5071704673
"250",1,58557,60064,55808.3458212649,61307.216254575,54352.8827354627,62762.6793403772
"251",1,59383,60839,56634.712811307,62132.8743163318,55179.4373674873,63588.1497601515
"252",1,60105,59706,57356.3870602136,62853.8033113925,55901.3088731716,64308.8814984346
"253",16,59931,57713,55400.2081187757,62679.952413777,53990.8583929597,64134.6774879479
"254",15,58966,58327,56217.9792460029,62954.6889768618,54763.2268683826,64438.6835204899
"255",15,58792,56341,54888.2027837955,61540.2447420167,53463.8107792693,62994.6647244573
"256",15,57826,57518,54571.079680535,60574.0158177129,53129.9502397077,62028.5495055981
"257",15,57901,56085,52177.2157451164,60648.374558369,50801.5335154251,62102.551037385
"258",15,57293,54370,51222.0767614059,60040.0487363131,49856.6223741051,61494.1221543184
"259",15,56239,57939,53492.3036837675,63479.1003515216,52037.9149462682,65044.2436613843
"260",15,57342,57452,54595.5546991045,61826.6729190209,53141.3044235059,63322.9566768655
"261",1,57621,57949,54874.9785856571,60367.9029072736,53421.0893405516,61821.7921523792
"262",15,57968,54826,52450.7885149884,60714.27994846,51070.2172239638,62167.8116373775
"263",1,56729,54148,53982.7156662277,59475.8742325942,52528.7644202821,60929.8254785398
"264",15,55849,55120,51040.1207569366,58596.4975278269,49642.484995448,60050.6135169275
"265",15,55869,51906,51276.2560774149,58615.7402175463,49873.003990993,60069.5358748624
"266",15,54430,55887,51682.4684247025,59099.0119276772,50227.7923330347,60602.5512279954
"267",1,55538,55419,52791.2982265455,58286.4473672516,51336.8201073981,59740.9254863989
"268",16,55828,56761,53081.3217083292,58680.2472795171,51627.2053074769,60136.9738372477
"269",1,56554,57179,53807.809102229,59300.4773744569,52353.9876293028,60754.2988473831
"270",1,57066,56884,54320.521887831,59811.9388912203,52867.0316057607,61265.4291732905
"271",1,57162,57910,54417.081358325,59907.144841724,52963.9493313555,61360.2768686934
"272",1,57662,56790,54918.4099807516,60407.2679031002,53465.5970465172,61860.0808373346
"273",1,57389,58998,54645.5406697817,60133.2575495236,53193.029751282,61585.7684680233
"274",1,58244,58320,55501.284084265,60988.4022474771,54048.9316364582,62440.7546952839
"275",1,58334,58665,55591.329834272,61077.083825843,54139.3384608878,62529.0751992272
"276",1,58526,59743,55784.279449528,61268.7057207593,54332.6395024897,62720.3456677976
"277",1,59096,58152,56354.411430145,61837.9107629631,54903.0168288843,63289.3053642237
"278",1,58647,59734,55906.3276131056,61388.7334243419,54455.222449524,62839.8385879234
"279",1,59148,60645,56407.7362501813,61889.1264869389,54956.899892927,63339.9628441933
"280",1,59784,58604,57044.4649850413,62525.1601760446,55593.8125952854,63975.8125658005
"281",16,59168,55666,54329.386059912,61908.5311877621,52932.9444223832,63358.9340354771
"282",1,57573,57201,54832.5201618709,60314.5648086463,53381.5105927477,61765.5743777695
"283",16,57525,56180,53612.9773744929,60265.7430828444,52193.3502953311,61716.4046927235
"284",1,57043,56649,54303.7984442781,59783.71362366,52853.3525111273,61234.1595568107
"285",16,57028,60522,54289.4082720727,62361.0941257032,52839.3084930336,63874.1075297576
"286",14,58747,58578,56006.9405905484,62954.402377721,54556.2461419802,64439.6988095145
"287",1,58665,57792,55925.9962258002,61405.5051062009,54475.6578334936,62855.8434985074
"288",1,58277,56575,55538.2417830485,61016.6268068821,54088.2008576066,62466.667732324
"289",1,57555,58003,54816.6722529795,60294.5664065668,53366.7612530437,61744.4774065027
"290",1,57859,57215,55121.4300943657,60598.0306705346,53671.8614836904,62047.59928121
"291",1,57645,56820,54907.475125389,60382.8501619595,53458.230895451,61832.0943918976
"292",1,57368,57974,54631.0385160337,60105.2675871637,53182.0976048257,61554.2084983717
"293",1,57753,56400,55017.3845943581,60490.3696123465,53568.7729641263,61938.9812425783
"294",1,57224,56836,54488.7021055178,59960.8872796522,53040.3021811659,61409.287204004
"295",1,57174,59392,54438.8079637838,59909.6915821935,52990.7525404225,61357.7470055547
"296",1,58288,55952,55552.6443195175,61023.626966034,54104.5626849997,62471.7086005518
"297",1,57263,55649,54527.926917899,59999.1795835694,53079.7738136284,61447.3326878401
"298",1,56655,57531,53920.3284184334,59391.0098225342,52472.3265179666,60839.011723001
"299",1,57211,57751,54476.9541600545,59946.5151095305,53029.2488260127,61394.2204435723
"300",1,57561,58110,54827.4474197831,60295.7498131249,53380.0752054278,61743.1220274802
"301",1,57879,59668,55146.4033521999,60613.4511649576,53699.3632052665,62060.491311891
"302",1,58719,58004,55986.1428571263,61452.787361905,54539.2094593668,62899.7207596646
"303",1,58363,59217,55630.3394775778,61095.7961201385,54183.7204879553,62542.415109761
"304",1,58740,56977,56008.5230163121,61472.8529150577,54562.2022577627,62919.1736736071
"305",1,57916,58441,55184.3974872319,60648.308830551,53738.1875136119,62094.518804171
"306",16,58189,61149,55458.6094395802,62910.8598943612,54012.7324406193,64403.957068701
"307",15,59521,61194,56789.2589874173,64581.9854205468,55343.0564259276,66082.2893289122
"308",15,60156,59947,56325.0158110862,62887.978262976,54906.6405864095,64334.043533832
"309",15,59895,60448,57164.2216171449,62749.3357025141,55718.5062077575,64197.892188316
"310",15,60003,62847,57272.6649813851,64385.5939638203,55827.2794338673,65869.0448153514
"311",15,61127,64325,58396.4355757347,66730.3358483134,56950.7763563574,68241.0145919232
"312",1,62312,63742,59581.0393673013,65044.5316839687,58134.9403033365,66490.6307479335
"313",1,62607,61347,59875.8627526748,65338.6173618196,58429.9589480965,66784.5211663979
"314",15,61676,63273,58945.5086742384,66821.2901051872,57499.836294661,68321.1443154613
"315",15,62122,64558,59391.7733096676,68080.1103329299,57946.2546294599,69597.5568757085
"316",16,62914,63422,59808.9802257936,65645.4333612209,58372.3575508807,67091.0577045051
"317",15,62777,67916,60047.4277964607,70395.6752940393,58602.1352094785,71948.8068908046
"318",16,64739,61355,57922.290406599,67473.3933986942,56570.6208237614,68920.3734407858
"319",1,62714,64895,59980.1687550671,65449.0011157964,58532.6562668176,66896.5136040458
"320",1,63379,63932,60645.1899763226,66114.0714104239,59197.6644991362,67561.5968876104
