"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"201",1,64498,64862,61753.701959248,67250.1767994094,60298.8729486506,68705.0058100069
"202",15,64631,64526,63217.2152975469,68830.3721308812,61731.5024289098,70316.0849995184
"203",15,64547,58394,57711.519951391,62841.6546145382,56353.6553284723,64199.519237457
"204",1,61761,62979,59011.2409826849,64515.1572827231,57554.4423366349,65971.9559287732
"205",15,62503,58919,56798.6497888459,62029.3870079538,55414.1572778338,63413.8795189659
"206",15,61026,66010,62330.8110798705,68218.9873896869,60772.3049529178,69777.4935166396
"207",15,63497,58849,56769.5426082933,61920.2305572897,55406.2378592235,63283.5353063594
"208",15,61474,63609,61211.4130701464,66962.6882977168,59689.142470841,68484.9588970222
"209",15,62622,55041,53304.2323385943,58216.1779131804,52004.118878933,59516.2913728417
"210",15,59374,57764,55395.2403143203,60809.5491597175,53962.1593288378,62242.6301451998
"211",15,59017,56784,55178.5094526537,60605.1566110641,53742.162712986,62041.5033507317
"212",15,58401,57778,55485.1268227455,61002.4209779176,54024.7872723313,62462.7605283317
"213",15,58541,53508,51307.3655683872,56395.1719895867,49960.704554353,57741.8330036208
"214",15,56686,55657,53190.9813368952,58653.6917775296,51745.0892230153,60099.5838914094
"215",1,56749,56035,53983.3397942817,59519.65179384,52517.9665245227,60985.0250635991
"216",1,56931,57407,54170.4012539668,59705.4521807025,52705.3617700213,61170.4916646479
"217",1,57631,58576,54867.2723109386,60400.9637932628,53402.5926501936,61865.6434540077
"218",1,58478,59549,55712.0733310361,61244.6186291318,54247.6970469308,62708.9949132371
"219",1,59311,58415,56545.3839740326,62076.8534844184,55081.2924337341,63540.9450247169
"220",1,59185,60795,56421.1967234808,61951.5034887451,54957.4129432256,63415.2872690003
"221",1,60186,62398,57422.7033073849,62952.3785678878,55959.0866763432,64415.9951989295
"222",1,61369,60760,58611.0619387268,64140.8042819687,57147.4275519566,65604.4386687388
"223",1,61201,61313,58439.6331743813,63968.0743691458,56976.3431808099,65431.3643627171
"224",1,61362,61712,58603.2379048291,64130.2727960229,57140.3201373284,65593.1905635236
"225",1,61614,63798,58856.4888754074,64382.1543080296,57393.9335816951,65844.7096017418
"226",1,62664,62769,59905.9537186265,65431.6441889209,58443.3917978427,66894.2061097046
"227",1,62706,64407,59944.4565558164,65468.7429921696,58482.2662603688,66930.9332876173
"228",1,63455,62657,60694.7592156692,66218.5074474433,59232.7113743686,67680.5552887438
"229",1,63028,62503,60270.7220038214,65793.2575778673,58808.9951336331,67254.9844480557
"230",14,62755,62174,59504.7697022218,64980.330103845,58055.4764091179,66429.6233969488
"231",1,62482,64155,59727.361774778,65247.2891048793,58266.3252650602,66708.325614597
"232",1,63238,62832,60482.293280377,66001.6548496247,59021.4065185116,67462.5416114901
"233",1,63007,62349,60250.3744975562,65768.3860288697,58789.8450691471,67228.9154572787
"234",11,62678,65366,61070.8515045726,66692.9945999325,59582.7601160529,68181.0859884523
"235",1,63875,63623,61118.0198523238,66635.5297269708,59657.6232044138,68095.9263748809
"236",1,63665,62671,60908.0013398359,66424.1342924232,59447.9691411803,67884.1664910788
