"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2025.904",63088.6320090585,52645.844216369,73531.419801748,47117.766284925,79059.4977331921
"2025.923",62940.9901004866,52417.7222858835,73464.2579150897,46847.0408043248,79034.9393966484
"2025.942",63698.3177838803,53095.1807899252,74301.4547778353,47482.2191187712,79914.4164489893
"2025.962",63211.831770639,52529.4227386231,73894.2408026549,46874.4969853787,79549.1665558992
"2025.981",62816.0863693661,52054.9892439792,73577.1834947531,46358.4085302906,79273.7642084416
"2026.000",62621.0374089488,51781.8234173013,73460.2514005964,46043.8901325348,79198.1846853629
"2026.019",62836.9169424127,51920.1450490624,73753.6888357631,46141.155091181,79532.6787936445
"2026.038",63189.936881349,52196.1542208558,74183.7195418423,46376.3972254001,80003.476537298
"2026.058",63094.3908513111,52024.1331397274,74164.6485628947,46163.8926976449,80024.8890049772
"2026.077",63338.5571335916,52192.3490601886,74484.7652069946,46291.9029252017,80385.2113419814
"2026.096",62569.850175954,51348.205776388,73791.49457552,45407.8260625361,79731.874289372
"2026.115",62960.7169206799,51664.1399327146,74257.2939086452,45684.0933026617,80237.3405386981
"2026.135",62836.0703286983,51465.0545315171,74207.0861258795,45445.6023761737,80226.538281223
"2026.154",62423.3657427656,50978.3952808351,73868.3362046961,44919.7938908004,79926.9375947309
"2026.173",62670.5788733494,51152.1285657265,74189.0291809722,45054.6292950259,80286.5284516728
"2026.192",63216.3842427261,51624.9198786393,74807.8486068129,45488.7693011961,80943.9991842561
"2026.212",62721.0812141371,51057.0598356154,74385.1025926587,44882.499894865,80559.6625334091
"2026.231",62631.5626083322,50895.4327806024,74367.6924360619,44682.7009326324,80580.4242840319
"2026.250",62888.5489413919,51080.7510117166,74696.3468710672,44830.0803622867,80947.017520497
"2026.269",63478.7414396155,51599.707785199,75357.7750940321,45311.3272209753,81646.1556582558
"2026.288",63506.6423861415,51556.7976516909,75456.4871205922,45230.9319660026,81782.3528062805
"2026.308",63278.9177713622,51258.6790968518,75299.1564458725,44895.5491102626,81662.2864324618
"2026.327",63175.7868282453,51085.564067398,75266.0095890927,44685.3867433628,81666.1869131279
"2026.346",63626.0341718112,51466.2301017767,75785.8382418457,45029.2186576392,82222.8496859831
"2026.365",63078.3510329141,50849.3615555965,75307.3405102316,44375.7255691651,81780.976496663
"2026.385",63180.4200380201,50882.6343734762,75478.205702564,44372.5798854031,81988.2601906371
"2026.404",62851.1749145772,50484.9757868833,75217.3740422711,43938.705399056,81763.6444300983
"2026.423",63148.2229235951,50713.9867395549,75582.4591076353,44131.6997096992,82164.7461374909
"2026.442",63266.0552801416,50764.1523011864,75767.9582590969,44146.0446338642,82386.0659264191
"2026.462",63367.8432595966,50798.6377672066,75937.0487519866,44144.902301385,82590.7842178082
"2026.481",63763.6444574568,51127.4949124157,76399.794002498,44438.3214057712,83088.9675091424
"2026.500",63629.6840760208,50926.9432717943,76332.4248802473,44202.5184819066,83056.849670135
"2026.519",63386.9159937993,50617.9312043151,76155.9007832834,43858.4389668968,82915.3930207018
"2026.538",63494.6652853406,50616.2274968747,76373.1030738065,43798.7943417423,83190.5362289389
"2026.558",63504.0878599436,50543.8803157845,76464.2954041026,43683.160866716,83325.0148531711
"2026.577",63513.5104345465,50472.0458195591,76554.9750495339,43568.311475528,83458.709393565
"2026.596",63522.9330091494,50400.7144840578,76645.1515342411,43454.2316022618,83591.634416037
"2026.615",63532.3555837524,50329.8770764209,76734.8340910838,43340.9071264774,83723.8040410273
"2026.635",63541.7781583553,50259.5246427488,76824.0316739618,43228.324354367,83855.2319623436
"2026.654",63551.2007329582,50189.6484964428,76912.7529694737,43116.470000924,83985.9314649925
"2026.673",63560.6233075612,50120.2402071648,77001.0064079576,43005.3311730591,84115.9154420633
"2026.692",63570.0458821641,50051.291590377,77088.8001739512,42894.895353602,84245.1964107262
"2026.712",63579.4684567671,49982.7946974242,77176.1422161099,42785.1503861334,84373.7865274007
"2026.731",63588.89103137,49914.741806124,77263.0402566159,42676.0844605948,84501.6976021452
"2026.750",63598.3136059729,49847.1254118355,77349.5018001104,42567.6860996279,84628.9411123179
"2026.769",63607.7361805759,49779.9382189742,77435.5341421776,42459.9441455994,84755.5282155523
"2026.788",63617.1587551788,49713.1731329492,77521.1443774084,42352.8477482689,84881.4697620887
"2026.808",63626.5813297818,49646.8232524952,77606.3394070683,42246.3863530616,85006.7763065019
"2026.827",63636.0039043847,49580.8818623764,77691.125946393,42140.5496899107,85131.4581188586
"2026.846",63645.4264789876,49515.3424264407,77775.5105315345,42035.3277626346,85255.5251953407
"2026.865",63654.8490535906,49450.1985810048,77859.4995261763,41930.7108388189,85378.9872683622
"2026.885",63664.2716281935,49385.4441285484,77943.0991278386,41826.6894401746,85501.8538162124
"2026.904",63673.6942027964,49321.0730317033,78026.3153738896,41723.2543333438,85624.1340722491
"2026.923",63683.1167773994,49257.0794075184,78109.1541472804,41620.3965211292,85745.8370336696
"2026.942",63692.5393520023,49193.4575219865,78191.6211820181,41518.1072341235,85866.9714698811
"2026.962",63701.9619266052,49130.2017848178,78273.7220683927,41416.3779227163,85987.5459304942
"2026.981",63711.3845012082,49067.3067444467,78355.4622579696,41315.2002494574,86107.568752959
