"Time","Emissions","Lo80","Hi80","Lo95","Hi95"
2070.3002747939,2728.07433289814,2377.28745868247,3078.8612071138,2191.59210448314,3264.55656131313
2070.31951036722,2729.15193633817,2378.12864595245,3080.17522672388,2192.30814059251,3265.99573208382
2070.33874594054,2730.22953977817,2378.9698332224,3081.48924633394,2193.02417670185,3267.43490285449
2070.35798151386,2731.3071432182,2379.81102049238,3082.80326594402,2193.74021281121,3268.87407362519
2070.37721708718,2732.38474665823,2380.65220776236,3084.1172855541,2194.45624892058,3270.31324439588
2070.3964526605,2733.46235009823,2381.49339503231,3085.43130516416,2195.17228502992,3271.75241516655
2070.41568823382,2734.53995353826,2382.33458230229,3086.74532477424,2195.88832113928,3273.19158593725
2070.43492380714,2735.61755697827,2383.17576957225,3088.05934438429,2196.60435724863,3274.63075670791
2070.45415938046,2736.6951604183,2384.01695684222,3089.37336399438,2197.32039335799,3276.06992747861
2070.47339495378,2737.7727638583,2384.85814411218,3090.68738360443,2198.03642946733,3277.50909824927
2070.4926305271,2738.85036729833,2385.69933138216,3092.00140321451,2198.7524655767,3278.94826901997
2070.51186610042,2739.92797073836,2386.54051865213,3093.3154228246,2199.46850168606,3280.38743979067
2070.53110167374,2741.00557417837,2387.38170592209,3094.62944243465,2200.1845377954,3281.82661056133
2070.55033724706,2742.0831776184,2388.22289319207,3095.94346204473,2200.90057390477,3283.26578133203
2070.56957282038,2743.1607810584,2389.06408046202,3097.25748165478,2201.61661001411,3284.7049521027
2070.5888083937,2744.23838449843,2389.905267732,3098.57150126487,2202.33264612347,3286.1441228734
2070.60804396702,2745.31598793844,2390.74645500196,3099.88552087492,2203.04868223282,3287.58329364406
2070.62727954034,2746.39359137847,2391.58764227193,3101.199540485,2203.76471834218,3289.02246441476
2070.64651511366,2747.4711948185,2392.42882954191,3102.51356009509,2204.48075445154,3290.46163518546
2070.66575068698,2748.5487982585,2393.27001681187,3103.82757970514,2205.19679056089,3291.90080595612
2070.6849862603,2749.62640169853,2394.11120408184,3105.14159931522,2205.91282667025,3293.33997672682
2070.70422183362,2750.70400513854,2394.9523913518,3106.45561892528,2206.62886277959,3294.77914749748
2070.72345740694,2751.78160857857,2395.79357862178,3107.76963853536,2207.34489888895,3296.21831826818
2070.74269298027,2752.8592120186,2396.63476589175,3109.08365814544,2208.06093499832,3297.65748903888
2070.76192855358,2753.9368154586,2397.47595316171,3110.39767775549,2208.77697110766,3299.09665980954
2070.7811641269,2755.01441889863,2398.31714043169,3111.71169736558,2209.49300721702,3300.53583058024
2070.80039970022,2756.09202233864,2399.15832770164,3113.02571697563,2210.20904332637,3301.97500135091
2070.81963527354,2757.16962577867,2399.99951497162,3114.33973658571,2210.92507943573,3303.4141721216
2070.83887084686,2758.24722921867,2400.84070224158,3115.65375619577,2211.64111554508,3304.85334289227
2070.85810642018,2759.3248326587,2401.68188951155,3116.96777580585,2212.35715165444,3306.29251366297
2070.87734199351,2760.40243609873,2402.52307678153,3118.28179541593,2213.0731877638,3307.73168443367
2070.89657756682,2761.48003953874,2403.36426405149,3119.59581502599,2213.78922387314,3309.17085520433
2070.91581314015,2762.55764297877,2404.20545132146,3120.90983463607,2214.50525998251,3310.61002597503
2070.93504871346,2763.63524641877,2405.04663859142,3122.22385424612,2215.22129609185,3312.04919674569
2070.95428428678,2764.7128498588,2405.8878258614,3123.53787385621,2215.93733220121,3313.48836751639
2070.9735198601,2765.79045329881,2406.72901313136,3124.85189346626,2216.65336831056,3314.92753828705
2070.99275543342,2766.86805673884,2407.57020040133,3126.16591307634,2217.36940441992,3316.36670905775
2071.01199100675,2767.94566844132,2408.40960509563,3127.48173178701,2218.08270994116,3317.80862694148
2071.03122658006,2769.02328513568,2409.2479328171,3128.79863745426,2218.79436573206,3319.2522045393
2071.05046215339,2770.10090183007,2410.0862605386,3130.11554312154,2219.50602152298,3320.69578213716
2071.0696977267,2771.17851852443,2410.92458826007,3131.43244878879,2220.21767731388,3322.13935973498
2071.08893330003,2772.25613521882,2411.76291598156,3132.74935445607,2220.9293331048,3323.58293733283
2071.10816887334,2773.33375191318,2412.60124370303,3134.06626012332,2221.6409888957,3325.02651493065
2071.12740444666,2774.41136860756,2413.43957142453,3135.3831657906,2222.35264468661,3326.47009252851
2071.14664001999,2775.48898530195,2414.27789914602,3136.70007145788,2223.06430047753,3327.91367012636
2071.1658755933,2776.56660199631,2415.11622686749,3138.01697712512,2223.77595626843,3329.35724772418
2071.18511116663,2777.64421869069,2415.95455458899,3139.3338827924,2224.48761205935,3330.80082532204
2071.20434673994,2778.72183538505,2416.79288231046,3140.65078845965,2225.19926785025,3332.24440291986
2071.22358231327,2779.79945207944,2417.63121003195,3141.96769412693,2225.91092364117,3333.68798051771
2071.24281788659,2780.87706877383,2418.46953775344,3143.28459979421,2226.62257943209,3335.13155811557
2071.26205345991,2781.95468546819,2419.30786547492,3144.60150546146,2227.33423522299,3336.57513571339
2071.28128903323,2783.03230216257,2420.14619319641,3145.91841112874,2228.0458910139,3338.01871331124
2071.30052460654,2784.10991885693,2420.98452091788,3147.23531679599,2228.7575468048,3339.46229090906
2071.31976017987,2785.18753555132,2421.82284863938,3148.55222246326,2229.46920259572,3340.90586850692
2071.33899575318,2786.26515224568,2422.66117636085,3149.86912813051,2230.18085838662,3342.34944610474
2071.35823132651,2787.34276894007,2423.49950408234,3151.18603379779,2230.89251417754,3343.79302370259
2071.37746689983,2788.42038563445,2424.33783180383,3152.50293946507,2231.60416996846,3345.23660130045
2071.39670247315,2789.49800232881,2425.17615952531,3153.81984513232,2232.31582575936,3346.68017889827
2071.41593804647,2790.5756190232,2426.0144872468,3155.1367507996,2233.02748155027,3348.12375649612
2071.43517361979,2791.65323571756,2426.85281496827,3156.45365646685,2233.73913734117,3349.56733409394
2071.45440919311,2792.73085241195,2427.69114268977,3157.77056213413,2234.45079313209,3351.0109116918
2071.47364476642,2793.80846910631,2428.52947041124,3159.08746780137,2235.16244892299,3352.45448928962
