"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"218",1,56212,56622,53461.6715674041,58962.6097141357,52005.6611909186,60418.6200906212
"219",1,56613,56799,53864.0932667045,59363.6752079625,52408.4418561243,60819.3266185428
"220",1,56875,56126,54126.1761894036,59624.3627681133,52670.8941089804,61079.6448485366
"221",1,56696,56284,53947.5694118278,59444.5249797319,52492.613160283,60899.4812312767
"222",1,56677,56352,53930.0795275518,59425.6849160513,52475.4806469082,60880.2837966949
"223",1,56695,56489,53948.1428167507,59442.3794915282,52493.9062127459,60896.616095533
"224",16,56759,58079,55725.9212757901,61392.9123458116,54225.9593454229,62892.8742761789
"225",1,57488,57627,54742.866542996,60234.841636844,53289.2285433042,61688.4796365358
"226",1,57628,56720,54882.8945346405,60373.4759765913,53429.6254123237,61826.7450989081
"227",1,57291,56072,54546.4446576762,60035.8818518346,53093.4783994554,61488.8481100553
"228",1,56844,55026,54100.6912688789,59589.1878277779,52647.9739817721,61041.9051148847
"229",1,56172,56834,53428.3429148196,58916.4481199417,51975.7292128004,60369.0618219609
"230",1,56649,56201,53905.7211485033,59392.5707105078,52453.4397951417,60844.8520638695
"231",16,56589,51315,50179.5685505025,55291.478897276,48826.5276127511,56644.5198350274
"232",1,54399,54008,51653.063600876,57145.6527387366,50199.2630735517,58599.4532660609
"233",1,54555,53881,51810.3634318789,57301.6034800242,50356.9199870325,58755.0469248706
"234",1,54562,54498,51817.0407476798,57307.0316008968,50363.9279447584,58760.1444038182
"235",1,54830,54774,52086.5465721079,57575.1482970224,50633.8014492382,59027.893419892
"236",1,55072,54614,52329.3206058446,57816.5306657949,50876.9438344405,59268.907437199
"237",1,55108,55381,52365.0992746859,57850.9872655292,50913.0724338368,59303.0141063784
"238",1,55458,55872,52715.9220644828,58200.4430204489,51264.2570559089,59652.1080290227
"239",1,55834,55883,53092.8602850505,58576.0431662227,51641.549443481,60027.3540077922
"240",1,56011,55888,53270.1879321,58751.9840080792,51819.2441556923,60202.9277844869
"241",1,56092,56489,53352.5613526222,58832.9756994594,51901.9832978269,60283.5537542547
"242",1,56393,58231,53653.6337224369,59132.7104542889,52203.4097129419,60582.9344637839
"243",1,57302,57637,54563.3051098173,60042.0132517945,53113.178660169,61492.1397014428
"244",1,57464,57178,54725.9156101874,60203.2733859877,53276.146580876,61653.0424152991
"245",1,57337,57749,54599.0054935662,60075.0071306088,53149.5954125015,61524.4172116735
"246",1,57529,57020,54792.5667465256,60267.2372758484,53343.5089883921,61716.2950339819
"247",1,57297,57515,54560.8258990206,60034.1969494101,53112.1120921843,61482.9107562464
"248",1,57407,59584,54671.6382248953,60143.6438931862,53223.2858128702,61591.9963052112
"249",1,58374,58565,55638.8183567027,61110.8691046295,54190.4540128188,62559.2334485134
"250",1,58378,57963,55642.9514802107,61113.6354461891,54194.9489016559,62561.6380247439
"251",1,58115,58528,55380.7265447961,60850.0877253486,53933.0740863944,62297.7401837504
"252",1,58244,58515,55510.0135273913,60978.0496807434,54062.7117825045,62425.3514256302
"253",1,58300,58047,55566.7479015123,61033.4313257703,54119.8042023889,62480.3750248938
"254",1,58120,57073,55388.2329151122,60853.563360672,53941.6473278182,62300.148947966
"255",15,57607,59550,57724.8767621326,63472.9401412771,56203.4562877534,64994.3606156563
"256",15,58463,64277,60524.8754696165,66458.9323955345,58954.2254771373,68029.5823880137
"257",15,60959,59877,58112.4847475723,63574.924058501,56666.6643973907,65020.7444086826
"258",15,60185,58950,56975.9653353459,62402.7254010682,55539.588710918,63839.1020254961
