"Week","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
99,5.51867772904298,5.3571296088948,5.68022584919117,5.27161119986589,5.76574425822007
100,5.54394244086247,5.38107957252594,5.70680530919901,5.29486517784743,5.79301970387751
101,5.56920715268196,5.4050262459886,5.73338805937532,5.31811412395052,5.82030018141341
102,5.59447186450145,5.42896963535872,5.75997409364418,5.34135804746747,5.84758568153543
103,5.61973657632094,5.45290974671391,5.78656340592797,5.36459695769323,5.87487619494865
104,5.64500128814043,5.47684658613223,5.81315599014862,5.38783086392339,5.90217171235746
105,5.67026599995992,5.50078015969105,5.83975184022878,5.41105977545245,5.92947222446738
106,5.6955307117794,5.5247104734658,5.86635095009301,5.43428370157195,5.95677772198686
107,5.72079542359889,5.54863753352893,5.89295331366886,5.45750265156894,5.98408819562885
108,5.74606013541838,5.57256134594891,5.91955892488786,5.48071663472441,6.01140363611236
109,5.77132484723787,5.59648191678931,5.94616777768643,5.50392566031169,6.03872403416405
110,5.79658955905736,5.62039925210774,5.97277986600698,5.52712973759511,6.06604938051961
111,5.82185427087685,5.64431335795506,5.99939518379863,5.55032887582873,6.09337966592496
112,5.84711898269634,5.66822424037453,6.02601372501814,5.57352308425481,6.12071488113786
113,5.87238369451583,5.69213190540096,6.05263548363069,5.59671237210289,6.14805501692876
114,5.89764840633531,5.71603635906006,6.07926045361057,5.61989674858847,6.17540006408216
115,5.9229131181548,5.73993760736757,6.10588862894203,5.64307622291181,6.2027500133978
116,5.94817782997429,5.76383565632874,6.13252000361984,5.6662508042572,6.23010485569139
117,5.97344254179378,5.7877305119376,6.15915457164996,5.68942050179162,6.25746458179594
118,5.99870725361327,5.81162218017629,6.18579232705024,5.71258532466407,6.28482918256247
119,6.02397196543276,5.83551066701462,6.21243326385089,5.73574528200452,6.31219864886099
120,6.04923667725225,5.85939597840936,6.23907737609513,5.75890038292308,6.33957297158141
121,6.07450138907173,5.88327812030385,6.26572465783962,5.78205063650932,6.36695214163415
122,6.09976610089122,5.9071570986274,6.29237510315505,5.80519605183132,6.39433614995112
123,6.12503081271071,5.93103291929494,6.31902870612648,5.82833663793516,6.42172498748626
124,6.1502955245302,5.95490558820639,6.34568546085401,5.85147240384409,6.44911864521631
125,6.17556023634969,5.97877511124647,6.37234536145291,5.87460335855788,6.47651711414149
126,6.20082494816918,6.00264149428414,6.39900840205421,5.8977295110524,6.50392038528596
127,6.22608965998867,6.0265047431722,6.42567457680513,5.92085087027876,6.53132844969857
128,6.25135437180816,6.05036486374714,6.45234387986917,5.94396744516302,6.55874129845329
129,6.27661908362764,6.07422186182855,6.47901630542673,5.96707924460556,6.58615892264972
130,6.30188379544713,6.09807574321905,6.50569184767522,5.99018627748065,6.61358131341361
131,6.32714850726662,6.12192651370372,6.53237050082952,6.01328855263588,6.64100846189736
132,6.35241321908611,6.14577417905013,6.55905225912209,6.03638607889194,6.66844035928028
133,6.3776779309056,6.16961874500785,6.58573711680335,6.05947886504199,6.69587699676921
134,6.40294264272509,6.19346021730825,6.61242506814192,6.08256691985152,6.72331836559865
135,6.42820735454458,6.21729860166433,6.63911610742482,6.10565025205775,6.7507644570314
136,6.45347206636406,6.24113390377052,6.6658102289576,6.12872887036954,6.77821526235859
137,6.47873677818355,6.26496612930236,6.69250742706475,6.15180278346687,6.80567077290024
138,6.50400149000304,6.28879528391641,6.71920769608968,6.17487200000075,6.83313098000533
139,6.52926620182253,6.31262137325006,6.745911030395,6.19793652859283,6.86059587505223
140,6.55453091364202,6.33644440292135,6.77261742436269,6.22099637783511,6.88806544944892
141,6.57979562546151,6.36026437852885,6.79932687239417,6.24405155628991,6.9155396946331
142,6.605060337281,6.3840813056515,6.82603936891049,6.26710207248944,6.94301860207255
143,6.63032504910048,6.40789518984842,6.85275490835254,6.2901479349357,6.97050216326527
144,6.65558976091997,6.43170603665896,6.87947348518099,6.3131891521003,6.99799036973965
145,6.68085447273946,6.4555138516024,6.90619509387653,6.33622573242433,7.02548321305459
146,6.70611918455895,6.479318640178,6.9329197289399,6.35925768431814,7.05298068479976
147,6.73138389637844,6.50312040786479,6.95964738489209,6.38228501616123,7.08048277659565
148,6.75664860819793,6.52691916012161,6.98637805627424,6.40530773630214,7.10798948009371
149,6.78191332001742,6.55071490238694,7.0131117376479,6.42832585305833,7.1355007869765
150,6.80717803183691,6.5745076400789,7.03984842359491,6.45133937471606,7.16301668895775
151,6.83244274365639,6.59829737859518,7.0665881087176,6.47434830953039,7.1905371777824
152,6.85770745547588,6.6220841233129,7.09333078763887,6.497352665725,7.21806224522677
153,6.88297216729537,6.64586787958876,7.12007645500199,6.52035245149212,7.24559188309862
154,6.90823687911486,6.6696486527588,7.14682510547092,6.54334767499264,7.27312608323708
155,6.93350159093435,6.69342644813852,7.17357673373018,6.56633834435583,7.30066483751286
156,6.95876630275384,6.71720127102275,7.20033133448492,6.58932446767948,7.32820813782819
157,6.98403101457333,6.74097312668575,7.2270889024609,6.61230605302986,7.35575597611679
158,7.00929572639281,6.76474202038104,7.25384943240459,6.63528310844156,7.38330834434407
159,7.0345604382123,6.78850795734157,7.28061291908303,6.65825564191766,7.41086523450695
160,7.05982515003179,6.8122709427796,7.30737935728398,6.68122366142958,7.43842663863401
161,7.08508986185128,6.83603098188669,7.33414874181587,6.70418717491722,7.46599254878534
162,7.11035457367077,6.8597880798338,7.36092106750774,6.72714619028883,7.49356295705271
163,7.13561928549026,6.88354224177129,7.38769632920923,6.75010071542118,7.52113785555934
164,7.16088399730975,6.90729347282879,7.4144745217907,6.77305075815945,7.54871723646004
165,7.18614870912923,6.93104177811545,7.44125564014302,6.79599632631734,7.57630109194113
166,7.21141342094872,6.9547871627198,7.46803967917764,6.81893742767709,7.60388941422035
167,7.23667813276821,6.97852963170984,7.49482663382658,6.84187406998949,7.63148219554693
168,7.2619428445877,7.00226919013297,7.52161649904243,6.864806260974,7.6590794282014
169,7.28720755640719,7.02600584301626,7.54840926979812,6.88773400831874,7.68668110449564
170,7.31247226822668,7.04973959536621,7.57520494108714,6.91065731968057,7.71428721677278
171,7.33773698004617,7.07347045216897,7.60200350792336,6.93357620268514,7.74189775740719
172,7.36300169186566,7.0971984183904,7.62880496534091,6.956490664927,7.76951271880431
173,7.38826640368514,7.12092349897591,7.65560930839438,6.97940071396959,7.7971320934007
174,7.41353111550463,7.14464569885077,7.68241653215849,7.00230635734541,7.82475587366385
175,7.43879582732412,7.16836502291996,7.70922663172828,7.02520760255606,7.85238405209218
176,7.46406053914361,7.1920814760684,7.73603960221882,7.04810445707223,7.88001662121498
177,7.4893252509631,7.2157950631608,7.76285543876539,7.070996928334,7.90765357359219
178,7.51458996278259,7.23950578904194,7.78967413652324,7.09388502375074,7.93529490181444
179,7.53985467460208,7.26321365853652,7.81649569066763,7.11676875070119,7.96294059850296
180,7.56511938642156,7.28691867644937,7.84332009639376,7.13964811653377,7.99059065630936
181,7.59038409824105,7.3106208475655,7.87014734891661,7.16252312856641,8.01824506791569
182,7.61564881006054,7.33432017665006,7.89697744347102,7.1853937940869,8.04590382603418
183,7.64091352188003,7.35801666844852,7.92381037531154,7.20826012035277,8.07356692340729
184,7.66617823369952,7.38171032768673,7.95064613971231,7.23112211459152,8.10123435280752
185,7.69144294551901,7.40540115907086,7.97748473196716,7.25397978400073,8.12890610703729
186,7.7167076573385,7.42908916728771,8.00432614738929,7.27683313574811,8.15658217892888
187,7.74197236915798,7.45277435700449,8.03117038131148,7.29968217697168,8.18426256134429
188,7.76723708097747,7.47645673286922,8.05801742908573,7.32252691477981,8.21194724717514
189,7.79250179279696,7.50013629951044,8.08486728608349,7.34536735625141,8.23963622934252
190,7.81776650461645,7.52381306153764,8.11171994769526,7.36820350843598,8.26732950079693
191,7.84303121643594,7.54748702354109,8.13857540933079,7.39103537835376,8.29502705451812
192,7.86829592825543,7.57115819009203,8.16543366641883,7.41386297299587,8.32272888351499
193,7.89356064007492,7.59482656574274,8.19229471440709,7.43668629932443,8.3504349808254
194,7.91882535189441,7.61849215502658,8.21915854876223,7.45950536427255,8.37814533951626
195,7.94409006371389,7.6421549624581,8.24602516496969,7.48232017474472,8.40585995268307
196,7.96935477553338,7.66581499253314,8.27289455853363,7.50513073761669,8.43357881345008
197,7.99461948735287,7.68947224972884,8.2997667249769,7.52793705973567,8.46130191497007
198,8.01988419917236,7.7131267385038,8.32664165984092,7.55073914792049,8.48902925042423
199,8.04514891099185,7.73677846329817,8.35351935868552,7.57353700896177,8.51676081302193
200,8.07041362281134,7.76042742853365,8.38039981708902,7.59633064962193,8.54449659600075
201,8.09567833463083,7.78407363861361,8.40728303064804,7.61912007663539,8.57223659262626
202,8.12094304645031,7.80771709792327,8.43416899497736,7.64190529670864,8.59998079619199
203,8.1462077582698,7.83135781082961,8.46105770571,7.66468631652051,8.6277292000191
204,8.17147247008929,7.85499578168159,8.487949158497,7.68746314272212,8.65548179745647
205,8.19673718190878,7.87863101481022,8.51484334900734,7.71023578193716,8.6832385818804
206,8.22200189372827,7.90226351452858,8.54174027292796,7.73300424076194,8.7109995466946
207,8.24726660554776,7.92589328513193,8.56863992596359,7.75576852576554,8.73876468532998
208,8.27253131736725,7.9495203308979,8.59554230383659,7.77852864348994,8.76653399124455
209,8.29779602918673,7.97314465608641,8.62244740228706,7.80128460045017,8.7943074579233
210,8.32306074100622,7.99676626493984,8.6493552170726,7.82403640313444,8.82208507887801
211,8.34832545282571,8.0203851616832,8.67626574396822,7.8467840580042,8.84986684764723
212,8.3735901646452,8.04400135052401,8.7031789787664,7.86952757149444,8.87765275779596
213,8.39885487646469,8.06761483565258,8.73009491727679,7.89226695001366,8.90544280291572
214,8.42411958828418,8.09122562124204,8.75701355532632,7.91500219994406,8.93323697662429
215,8.44938430010367,8.11483371144836,8.78393488875897,7.93773332764169,8.96103527256565
216,8.47464901192316,8.13843911041055,8.81085891343576,7.96046033943659,8.98883768440972
217,8.49991372374264,8.16204182225064,8.83778562523465,7.98318324163287,9.01664420585242
218,8.52517843556213,8.18564185107382,8.86471502005045,8.00590204050888,9.04445483061539
219,8.55044314738162,8.20923920096856,8.89164709379468,8.02861674231743,9.07226955244581
220,8.57570785920111,8.23283387600662,8.9185818423956,8.05132735328569,9.10008836511653
221,8.6009725710206,8.25642588024322,8.94551926179798,8.07403387961556,9.12791126242563
222,8.62623728284009,8.28001521771701,8.97245934796316,8.09673632748373,9.15573823819644
223,8.65150199465958,8.30360189245032,8.99940209686883,8.11943470304171,9.18356928627744
224,8.67676670647906,8.32718590844907,9.02634750450905,8.14212901241611,9.21140440054202
225,8.70203141829855,8.35076726970305,9.05329556689406,8.16481926170871,9.2392435748884
226,8.72729613011804,8.37434598018577,9.08024628005031,8.18750545699654,9.26708680323954
227,8.75256084193753,8.3979220438548,9.10719964002026,8.21018760433213,9.29493407954293
228,8.77782555375702,8.42149546465165,9.13415564286239,8.23286570974349,9.32278539777055
229,8.80309026557651,8.44506624650193,9.16111428465108,8.25553977923439,9.35064075191863
230,8.828354977396,8.46863439331553,9.18807556147646,8.27820981878445,9.37850013600754
231,8.85361968921548,8.49219990898654,9.21503946944443,8.30087583434914,9.40636354408183
232,8.87888440103497,8.51576279739341,9.24200600467653,8.3235378318601,9.43423097020985
233,8.90414911285446,8.53932306239911,9.26897516330981,8.34619581722517,9.46210240848375
234,8.92941382467395,8.56288070785106,9.29594694149684,8.36884979632853,9.48997785301938
235,8.95467853649344,8.58643573758135,9.32292133540553,8.39149977503077,9.51785729795611
236,8.97994324831293,8.60998815540673,9.34989834121912,8.41414575916922,9.54574073745663
237,9.00520796013242,8.63353796512876,9.37687795513607,8.43678775455779,9.57362816570704
238,9.03047267195191,8.65708517053388,9.40386017336993,8.45942576698734,9.60151957691647
239,9.05573738377139,8.68062977539343,9.43084499214935,8.48205980222567,9.62941496531712
240,9.08100209559088,8.70417178346383,9.45783240771794,8.50468986601771,9.65731432516406
241,9.10626680741037,8.72771119848661,9.48482241633413,8.5273159640856,9.68521765073515
242,9.13153151922986,8.75124802418843,9.51181501427128,8.54993810212886,9.71312493633086
243,9.15679623104935,8.77478226428132,9.53881019781738,8.57255628582447,9.74103617627423
244,9.18206094286884,8.79831392246262,9.56580796327506,8.59517052082708,9.7689513649106
245,9.20732565468833,8.8218430024151,9.59280830696155,8.61778081276895,9.7968704966077
246,9.23259036650781,8.84536950780707,9.61981122520856,8.64038716726034,9.82479356575529
247,9.2578550783273,8.86889344229245,9.64681671436215,8.66298958988937,9.85272056676524
248,9.28311979014679,8.89241480951082,9.67382477078277,8.6855880862223,9.88065149407128
249,9.30838450196628,8.9159336130875,9.70083539084506,8.70818266180367,9.90858634212889
250,9.33364921378577,8.93944985663369,9.72784857093784,8.73077332215626,9.93652510541528
251,9.35891392560526,8.96296354374652,9.754864307464,8.75336007278135,9.96446777842916
252,9.38417863742475,8.98647467800901,9.78188259684048,8.77594291915886,9.99241435569063
253,9.40944334924423,9.0099832629904,9.80890343549807,8.7985218667473,10.0203648317412
254,9.43470806106372,9.03348930224598,9.83592681988147,8.82109692098407,10.0483192011434
255,9.45997277288321,9.05699279931724,9.86295274644919,8.84366808728551,10.0762774584809
256,9.4852374847027,9.08049375773211,9.88998121167329,8.86623537104699,10.1042395983584
257,9.51050219652219,9.10399218100476,9.91701221203962,8.88879877764307,10.1322056154013
258,9.53576690834168,9.12748807263588,9.94404574404748,8.91135831242752,10.1601755042558
259,9.56103162016117,9.15098143611271,9.97108180420962,8.93391398073361,10.1881492595887
260,9.58629633198066,9.17447227490904,9.99812038905227,8.95646578787412,10.2161268760872
261,9.61156104380014,9.19796059248537,10.0251614951149,8.97901373914137,10.2441083484589
262,9.63682575561963,9.22144639228897,10.0522051189503,9.0015578398075,10.2720936714318
263,9.66209046743912,9.24492967775389,10.0792512571243,9.02409809512451,10.3000828397537
264,9.68735517925861,9.26841045230116,10.1062999062161,9.0466345103243,10.3280758481929
265,9.7126198910781,9.29188871933874,10.1333510628175,9.06916709061894,10.3560726915373
266,9.73788460289759,9.31536448226159,10.1604047235336,9.09169584120061,10.3840733645946
267,9.76314931471708,9.33883774445186,10.1874608849823,9.11422076724184,10.4120778621923
268,9.78841402653656,9.36230850927887,10.2145195437943,9.13674187389557,10.4400861791776
269,9.81367873835605,9.38577678009923,10.2415806966129,9.15925916629524,10.4680983104169
270,9.83894345017554,9.40924256025681,10.2686443400943,9.18177264955494,10.4961142507961
271,9.86420816199503,9.43270585308294,10.2957104709071,9.20428232876946,10.5241339952206
272,9.88947287381452,9.45616666189644,10.3227790857326,9.22678820901447,10.5521575386146
273,9.91473758563401,9.47962499000365,10.3498501812644,9.2492902953466,10.5801848759214
274,9.9400022974535,9.50308084069851,10.3769237542085,9.27178859280348,10.6082160021035
275,9.96526700927298,9.52653421726261,10.4039998012834,9.29428310640397,10.636250912142
276,9.99053172109247,9.54998512296543,10.4310783192195,9.31677384114814,10.6642896010368
277,10.015796432912,9.57343356106409,10.4581593047598,9.33926080201746,10.6923320638065
278,10.0410611447315,9.59687953480371,10.4852427546592,9.36174399397489,10.720378295488
279,10.0663258565509,9.62032304741737,10.5123286656845,9.38422342196491,10.748428291137
280,10.0915905683704,9.64376410212608,10.5394170346148,9.40669909091374,10.7764820458271
281,10.1168552801899,9.667202702139,10.5665078582408,9.42917100572935,10.8045395546505
282,10.1421199920094,9.69063885065349,10.5936011333653,9.45163917130159,10.8326008127172
283,10.1673847038289,9.714072550855,10.6206968568028,9.47410359250227,10.8606658151555
284,10.1926494156484,9.73750380591741,10.6477950253794,9.49656427418537,10.8887345571114
285,10.2179141274679,9.76093261900279,10.6748956359329,9.51902122118695,10.9168070337488
286,10.2431788392874,9.7843589932618,10.7019986853129,9.54147443832539,10.9448832402493
287,10.2684435511068,9.80778293183339,10.7291041703803,9.56392393040147,10.9729631718122
288,10.2937082629263,9.83120443784525,10.7562120880074,9.58636970219839,11.0010468236543
289,10.3189729747458,9.8546235144135,10.7833224350782,9.608811758482,11.0291341910097
290,10.3442376865653,9.878040164643,10.8104352084876,9.63125010400071,11.0572252691299
291,10.3695023983848,9.90145439162736,10.8375504051422,9.65368474348576,11.0853200532838
